Entry Time,Entry Price,Exit Time,Exit Price,Type,Volume,Stop Loss,Take Profit,Exit Reason,Profit/Loss,Pips,Return %
21,1.0990102815381289,36,1.1007147467905252,SELL,1.17,1.1007147467905252,1.0956013510333362,SL,-199.42243453036878,10990.102815381288,-1.9942243453036876
37,1.1009331362710595,53,1.1036197002212678,SELL,0.73,1.1036197002212678,1.095560008370643,SL,-196.11916836520413,11009.331362710594,-2.001098068507622
54,1.1049505092992922,61,1.1073960605556792,SELL,0.79,1.1073960605556792,1.1000594067865184,SL,-193.19854925457403,11049.505092992922,-2.0115506910084586
62,1.1081905827729082,101,1.1123601578676259,SELL,0.45,1.1123601578676259,1.0998514325834727,SL,-187.63087926229716,11081.90582772908,-1.9936850357517684
102,1.1132216827057972,121,1.1154912419763352,SELL,0.81,1.1154912419763352,1.1086825641647213,SL,-183.83430091357457,11132.216827057971,-1.9930799638585819
122,1.1172298125416509,133,1.1208226915966382,SELL,0.5,1.1208226915966382,1.1100440544316763,SL,-179.6439527493643,11172.298125416508,-1.9872570047610192
134,1.1213645416951978,151,1.1222193038207404,SELL,0.51,1.1248280901967966,1.114437444692,SIGNAL,-43.59286840267185,11213.645416951978,-0.4920104612807677
169,1.1259703997744783,203,1.1301496541863025,BUY,0.84,1.1238807725685662,1.1301496541863025,TP,351.0573705932334,-11259.703997744782,3.9817962599964383
204,1.1303748535272353,217,1.134637786558964,BUY,0.86,1.1282433870113708,1.134637786558964,TP,366.61224072867293,-11303.748535272352,3.9989924538307213
218,1.136328581504341,271,1.1417991696609848,BUY,0.7,1.1335932874260188,1.1417991696609848,TP,382.94117096507426,-11363.285815043408,4.016488726100476
273,1.1433637435207908,329,1.1471076953948758,BUY,0.8,1.1408862128092836,1.1483188049438053,SIGNAL,299.51614992679515,-11433.637435207907,3.020178048165021
330,1.147007270355323,358,1.1512362135297098,SELL,0.48,1.1512362135297098,1.1385493840065488,SL,-202.98927237057282,11470.072703553229,-1.9868409055064535
359,1.15220779277609,386,1.156383472579516,SELL,0.48,1.156383472579516,1.1438564331692382,SL,-200.43263056443902,11522.0779277609,-2.0015850335876015
387,1.1572557978053128,409,1.161947600387719,SELL,0.42,1.161947600387719,1.1478721926405007,SL,-197.05570846105581,11572.557978053128,-2.0080549247996897
410,1.1617929579904431,435,1.1582379384804495,SELL,1.08,1.16357046774544,1.1582379384804495,TP,383.94210707930836,11617.92957990443,3.992656360226137
437,1.1580614065030774,441,1.1608232151710314,SELL,0.72,1.1608232151710314,1.1525377891671698,SL,-198.85022409268416,11580.614065030773,-1.9884725581182678
442,1.1612250135663658,457,1.1662152790999292,SELL,0.39,1.1662152790999292,1.1512444824992387,SL,-194.62035580897296,11612.250135663657,-1.9856587867553555
458,1.166056931416419,473,1.1710904122254897,SELL,0.38,1.1710904122254897,1.1559899697982778,SL,-191.27227074468368,11660.56931416419,-1.9910343296257633
479,1.1740099290867658,499,1.1768586552499933,BUY,0.47,1.1700125673545139,1.1820046525512697,END,133.890129671693,-11740.099290867658,1.4220323971744713
